ID,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,UTILIZATION
a2a6b798-c934-4388-9ed5-5c128ce7f3d8,f6a101cd-4b43-4834-b9b0-2a82ae2d89e3,Abraham100 Cruickshank494,M,GENERAL PRACTICE,255 LAFAYETTE AVENUE,SUFFERN,NY,10901,4408,
b01c5c44-ce0a-4dde-b2f6-52192fc8795b,61bb792a-e944-47a8-8e28-2eb8490ad23f,Saundra460 Lakin515,F,GENERAL PRACTICE,400 EAST MAIN STREET,MOUNT KISCO,NY,10549,7040,
50a5d845-ad33-4b63-baa7-3c2720a036a8,68782220-d8d3-4261-973a-01c24067d1ad,Ronni748 Hudson301,F,GENERAL PRACTICE,521 EAST AVENUE,LOCKPORT,NY,14094,3086,
b90e9c84-56b7-41b3-86ad-3ea4627c70db,95182021-8c1f-49c8-9044-cbc56d67116f,Chantel847 Labadie908,F,GENERAL PRACTICE,189 EAST MAIN STREET,WESTFIELD,NY,14787,641,
a0fabb59-5c99-4cd3-a2c5-9cb89218f1a2,1c3440e4-0d69-49fe-b3a3-c2cb765f9c0f,Mika226 Marquardt819,F,GENERAL PRACTICE,259 FIRST STREET,MINEOLA,NY,11501,2951,
77ecc825-97c6-482b-b646-ccd9303c17f7,baedb501-323a-41df-b938-38ee7ba0d6ff,Keri25 Rosenbaum794,F,GENERAL PRACTICE,134 HOMER AVENUE,CORTLAND,NY,13045,2705,
2a5a96c9-0bc0-43cb-975c-028babdeabb7,94eb8a6e-e1b4-4ff8-83eb-d5e4934fd142,Diego848 Padberg411,M,GENERAL PRACTICE,2215 BURDETT AVENUE,TROY,NY,12180,7904,
67ed7a2d-a088-49a7-8bf1-8d119511700e,b844b216-8b19-4fc7-962a-e807c521ac75,Aleta47 Koelpin146,F,GENERAL PRACTICE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,571,
72c8fb07-696f-4472-acc0-1eda565b63db,67919628-a40a-4584-86f8-2b5beb540b96,Ellis535 Gleason633,M,GENERAL PRACTICE,16 GUION PLACE,NEW ROCHELLE,NY,10802,3158,
e01b3ba3-c3e5-48fa-9f0a-ca6da00cd49c,4b31eb89-3f5f-4314-b610-8a2da6ef12a6,Monique148 Hilll811,F,GENERAL PRACTICE,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,360,
c7ea89a7-4311-4f3a-96ef-65493fa678f1,b965eac0-4a81-4185-bb14-127aace9e260,Twila243 Stamm704,F,GENERAL PRACTICE,100 PARK STREET,GLENS FALLS,NY,12801,3926,
1c269f9d-5fd8-4672-ab37-21c0f32806d3,e5e8e910-bb9d-410e-be62-585101d2445d,Jean712 Fisher429,M,GENERAL PRACTICE,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,780,
3888e81d-aabd-4058-b7f1-1a8ab92ca826,eb6af95a-6365-4f51-8c4f-7a9e9cd893ea,Rosana394 Leuschke194,F,GENERAL PRACTICE,50 LEROY STREET,POTSDAM,NY,13676,884,
2c2ec39d-743b-462b-8efc-f3e90745a60b,854d1aa5-8cc1-457b-9743-765474b34c03,Jamel269 Jerde200,M,GENERAL PRACTICE,ONE HEALTHY WAY,OCEANSIDE,NY,11572,1328,
ba511d7d-0fd6-4873-baa5-22fc02cc0395,ac763746-64ba-4b8f-bb35-f600824ddee7,Masako522 Yundt842,F,GENERAL PRACTICE,15 - 19  MAPLE AVENUE,WARWICK,NY,10990,671,
b350fc2d-82d8-4fd2-add9-4101f3457d64,5b7ff8c9-83ff-4455-9b4e-59e27c8c21f0,Willy639 Langworth352,M,GENERAL PRACTICE,214 KING STREET,OGDENSBURG,NY,13669,654,
c1624f80-d769-475b-bf67-df0b7457ca07,202321e1-f338-4996-9456-9b0d87a74cac,Andrea7 Perea353,F,GENERAL PRACTICE,1500 NORTH JAMES STREET,ROME,NY,13440,1502,
9aabaa26-6a0b-4706-b442-34516a7c1a8d,12f4ace3-368e-4fe3-a85e-bca4e63483b9,Janetta325 Hudson301,F,GENERAL PRACTICE,110 WEST SIXTH STREET,OSWEGO,NY,13126,1784,
6d9d7e53-7cf3-4d58-84a9-5b12fc90ac8d,b1647847-1fe5-438e-8aa0-23df5c73aa0b,Jan231 Macejkovic424,M,GENERAL PRACTICE,211 CHURCH STREET,SARATOGA SPRINGS,NY,12866,1116,
9b99bfa7-1e14-4867-ad10-0e32820920ec,720c891c-6b85-4d9e-af2b-7c500e8deee3,Clemmie560 Howe413,F,GENERAL PRACTICE,1 HOSPITAL DRIVE,MASSENA,NY,13662,461,
28e0f3ef-d150-42dc-874d-0b0400c7863e,768fe111-aa93-4dc5-8497-8e9fbba70991,Leonor133 Laboy63,F,GENERAL PRACTICE,529 CENTRAL AVENUE,DUNKIRK,NY,14048,1400,
62c80b5c-271f-4d27-969f-8f18fe148abb,07f27ac0-cb32-4247-aa57-187daec80715,Manuela585 Carroll471,F,GENERAL PRACTICE,100 WOODS RD,VALHALLA,NY,10595,1402,
11ce5e41-21d2-4b12-b305-67bdfdc035ab,dcce2c6e-8634-47c3-8ad9-c5a581bef6cc,Quiana329 Fahey393,F,GENERAL PRACTICE,17 LANSING STREET,AUBURN,NY,13021,1547,
3737cbd7-effd-46a3-9194-7781c749edf5,912a2e81-9dca-4559-a0a9-4753f3114c02,Julia241 Moya426,F,GENERAL PRACTICE,111  CLARA BARTON STREET,DANSVILLE,NY,14437,587,
572d351b-eece-4b0f-b498-9275a3fe00e2,116fd74b-7812-46c4-a6e2-02afd2192a2a,Mellisa81 Sauer652,F,GENERAL PRACTICE,207 FOOTE AVENUE,JAMESTOWN,NY,14701,1147,
e935c622-d879-46e5-a798-b500bbca370f,f93fe65e-12c0-435f-83f5-8aad31731020,Clair921 Carter549,M,GENERAL PRACTICE,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,1465,
ba6fe50a-a82a-480d-bf64-d02993b18d3d,9d891662-15bf-4b00-b28a-034d916e38fd,Mariana775 Tello902,F,GENERAL PRACTICE,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,4087,
05bd8bd8-9319-4c9c-9f8c-a2e49a03bb7a,8a776898-f81a-4767-b940-30b7d270d566,José Luis472 Patiño436,M,GENERAL PRACTICE,701 NORTH BROADWAY,SLEEPY HOLLOW,NY,10591,21,
0ca2ac72-ee75-4641-a2c9-770892a1648a,389e9074-c8d0-4b45-ac56-acdebba7d221,Willia886 McKenzie376,F,GENERAL PRACTICE,70 DUBOIS STREET,NEWBURGH,NY,12550,3350,
2d3d160a-0508-413f-9ecf-418bd46e7acf,8bb463ec-10e5-4f83-adc2-93d3df00c680,Byron202 Williamson769,M,GENERAL PRACTICE,2 COULTER ROAD,CLIFTON SPRINGS,NY,14432,490,
3749dead-6b49-434d-8053-39b2dd885354,2284cd3a-1c5a-4e48-95a8-d295067c5f07,Shalonda324 Nader710,F,GENERAL PRACTICE,1980 CROMPOND ROAD,CORTLANDT MANOR,NY,10567,1068,
b14c6fa1-a6e2-4f77-8e76-70bc6f09e089,6a0b2c73-bd29-43d7-8917-f60de0264009,Romona686 McClure239,F,GENERAL PRACTICE,178 GRANDVIEW DRIVE,COBLESKILL,NY,12043,907,
6d92b663-c7f2-4ccd-aa86-83b29d47c2ac,99448db0-9d44-4e70-9d69-c1c9131cd659,Bobby524 Raynor401,M,GENERAL PRACTICE,670 STONELEIGH AVENUE,CARMEL,NY,10512,3115,
45a10282-30c6-4d34-93cc-64de307afc5f,5df4fc49-826e-45fd-bd76-82fb5a031e4a,Kiara978 Simonis280,F,GENERAL PRACTICE,99 EAST STATE STREET,GLOVERSVILLE,NY,12078,2174,
4ba4e53b-08db-43cc-ad82-2782d40f85f3,b34ed7a6-3dff-4731-adee-cc38aeb3e98e,Louise871 Tromp100,F,GENERAL PRACTICE,1 GUTHRIE DRIVE,CORNING,NY,14830,1058,
af5a7986-1c50-44f5-a0d2-c57010a43286,3ce8241d-1298-4494-add3-e20c039f016b,Virginia437 Posada6,F,GENERAL PRACTICE,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,2865,
19281038-5ec6-4411-a305-be33d1cc3113,ebfdc95f-3dda-41cc-bf77-31d7cfa3e321,Candi549 Schuster709,F,GENERAL PRACTICE,41 EAST POST R0AD,WHITE PLAINS,NY,10601,3882,
49c3be1b-e902-439e-b311-f83e98a6ad91,01ccb9db-c235-4d55-ace1-f7d512f078a2,Zella14 Stokes453,F,GENERAL PRACTICE,101 DATES DRIVE,ITHACA,NY,14850,3982,
3b0937e2-cc07-4661-93ce-a67c4d40e151,d06ea568-536d-4b75-91f7-25a68a7e6b97,Tomas436 Lynch190,M,GENERAL PRACTICE,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,709,
d2627f97-d09e-4923-9944-9f3df99af7d8,6513c9f5-ce2d-48f5-985b-89905af8c5d5,Petra678 Kuhlman484,F,GENERAL PRACTICE,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,548,
f334906c-0d96-4d73-8b78-4c812a777b64,02eb1fed-e16a-4451-88a1-8e2f3f56af56,Reynalda736 Kuhlman484,F,GENERAL PRACTICE,240 MEETING HOUSE LANE,SOUTHAMPTON,NY,11968,53,
430ff938-ffdb-4fb5-9908-00ffe69e8742,7ad641db-33c1-4148-8583-e8cc4bbd43f3,Rayford811 Stehr398,M,GENERAL PRACTICE,68 HARRIS BUSHVILLE ROAD,HARRIS,NY,12742,1341,
1201a114-c510-459f-8fa2-63fa2182ffbc,7e87fa6a-3a37-49ef-bd5f-d21d25178ee0,Celinda332 Adams676,F,GENERAL PRACTICE,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,395,
26a4f2e3-2384-4e5e-937d-480db4bd2df7,f81af9e1-43fb-4fb3-8bbb-a4c4c23b9e30,Dexter530 Strosin214,M,GENERAL PRACTICE,10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,2145,
0457c0a2-ff6c-4a3b-8c82-c0de3228337b,b25aa936-5ed9-490b-b223-d0016a116262,Joshua658 Prohaska837,M,GENERAL PRACTICE,327 BEACH 19TH STREET,FAR ROCKAWAY,NY,11691,5607,
e1e90fa0-46b1-4243-a840-9b1559e9f139,e6e0ffdc-4bde-4815-9d79-37328a79832d,Kim439 Dare640,M,GENERAL PRACTICE,51 NORTH ROUTE 9W,WEST HAVERSTRAW,NY,10993,2380,
a915dd60-9550-482a-9a4d-2be15ebaf863,0f6b51d1-6a4f-4784-b5a3-22d86b224bc4,Edwin773 Rolfson709,M,GENERAL PRACTICE,43 WEST PEARL STREET,SIDNEY,NY,13838,614,
06b7ca55-c297-40f7-80cc-70cf06f4f8ac,724ec30c-bfc7-461c-9ca4-6f5999ad811c,Tiana543 Breitenberg711,F,GENERAL PRACTICE,140 WEST MAIN STREET,CUBA,NY,14727,762,
fd10e4e9-c32e-4320-b144-e0a88ce2f878,60bfc0de-4a35-4106-b368-a99461771555,Josef103 Ruecker817,M,GENERAL PRACTICE,75 PARK STREET,ELIZABETHTOWN,NY,12932,162,
a663204f-61d3-4b48-9add-2c457a55cbbc,0897886e-7bc5-4ee0-94f1-eddf5aacb21b,Lucas404 Beltrán716,M,GENERAL PRACTICE,8081 ROUTE 97,CALLICOON,NY,12723,178,
31325654-4759-4040-a947-cf6996da6373,7d0a84dc-c905-4112-8f6e-93d7db819df1,Vanessa263 Konopelski743,F,GENERAL PRACTICE,460 ANDES ROAD,DELHI,NY,13753,343,
f0d3ac8f-17b2-4f44-88ea-ffe54216bea9,32b87c68-84a8-4665-82a4-d641ae5cfaae,Shala169 Treutel973,F,GENERAL PRACTICE,1019 WICKER STREET,TICONDEROGA,NY,12883,840,
9bb85236-c3ad-40b9-bef5-3002c6e6f322,61fb7113-6a5a-4580-9af7-bb811d52fcba,Shani239 Simonis280,F,GENERAL PRACTICE,1014 OSWEGATCHIE TRAIL,STAR LAKE,NY,13690,900,
cf66ce59-21d8-4c93-90aa-47b68654726a,f24d39fa-9428-4835-b0e9-69af946c9f85,Juan Carlos348 Toledo81,M,GENERAL PRACTICE,4 FULLER STREET,ALEXANDRIA BAY,NY,13607,228,
4ec17eda-8cfc-4de8-8414-0d2644c52edb,c6bd227a-119d-424a-917b-1f9c68818554,Glennis930 Hegmann834,F,GENERAL PRACTICE,10 HEALTHY WAY,ELLENVILLE,NY,12428,3173,
6ab12c7c-25fa-40c5-b2e7-48a59d097ae9,01ff1adf-ab4b-41bb-a7a9-e61d236f099a,Carlo647 McDermott739,M,GENERAL PRACTICE,140 BURWELL STREET,LITTLE FALLS,NY,13365,2319,
8a4a7e03-1997-4e6d-8bec-ca0ac142e8e8,1ffc0733-3bf9-4bf3-900c-b6e0c521ab11,Carole948 West559,F,GENERAL PRACTICE,1 TITUS PLACE,WALTON,NY,13856,3224,
89e83c46-b89c-4151-a99e-42d4bf3eed96,4afdfe15-791d-4ee3-9679-c72eb9685281,Olivia294 Lucero848,F,GENERAL PRACTICE,220 STEUBEN STREET,MONTOUR FALLS,NY,14865,32,
208ec130-6893-421d-a2a8-d21b3333d68e,04088926-3c71-47ae-8aec-647501071a6d,Mertie42 Kilback373,F,GENERAL PRACTICE,418 NORTH MAIN STREET,PENN YAN,NY,14527,810,
165bff8a-e9ab-49ae-a03f-2255a12df296,37360279-019e-41da-b97f-5648a09b481c,Jesse626 MacGyver246,M,GENERAL PRACTICE,77 WEST BARNEY STREET,GOUVERNEUR,NY,13642,153,
bc29daec-dd09-4309-bed1-6ab6d7c1ed50,e51baa76-8ba6-4dc0-a9bc-928c0502c97f,Ginger664 Ondricka197,F,GENERAL PRACTICE,7785 NORTH STATE STREET,LOWVILLE,NY,13367,1034,
5177363c-9b8d-4b3f-a7ee-104f68ee93f5,9a700d57-e940-4fc4-a6df-bc207d63da15,Damian46 Jacobson885,M,GENERAL PRACTICE,200 OHIO STREET,MEDINA,NY,14103,711,
82f33364-f0bb-4fbb-9c24-04ccb4122525,cc5dbbac-3419-4c62-8239-d8bc65bd7a60,Magdalen131 Schumm995,F,GENERAL PRACTICE,222 Richmond Avenue,Batavia,NY,14020,1,
cb97eb16-c939-4d9f-84b7-fd36175d1c5f,0ebff1f8-4831-478e-b7d4-04b5b5159e65,Berry486 Blanda868,M,GENERAL PRACTICE,324 Plaza Road,Kingston,NY,12401,59,
f0d7696f-c076-48e0-a3bc-5e971239197f,0fdcac7d-6cb2-463a-a759-b48d49eba11a,Wonda35 Harber290,F,GENERAL PRACTICE,1234 Abbott Road,Lackawanna,NY,14218,1,
bb3ccd16-77ea-4f2f-8873-0be33bc8e93d,ea73abd3-8156-48bc-830a-27a29d1ede86,Jettie913 Swaniawski813,F,GENERAL PRACTICE,100 West Main Street,Babylon,NY,11702,1,
d917fb00-3c8d-4553-9e74-0102803ab7da,b76b2fb1-e08b-41c5-b252-091f8a558a9f,Sheron583 Weimann465,F,GENERAL PRACTICE,1228 EAST MAIN STREET,RIVERHEAD,NY,11901,383,
23539d56-1461-4ea8-b9d8-1a6bba5e0559,3c08dac0-c7b5-4a46-9c5f-824b4dba7b16,Timmy68 Swift555,M,GENERAL PRACTICE,128 GLEN STREET,GLEN COVE,NY,11542,6,
0230ebc1-02ab-498a-8fa5-fe2de51c4e26,da857106-57fc-47f5-85b3-d2a8a7d8d587,Marion502 Strosin214,F,GENERAL PRACTICE,292 HERRICKS ROAD,MINEOLA,NY,11501,2,
68ce69a9-5349-4259-8963-3d1717a24333,c96a7ceb-fcab-4c96-b159-80b325808d18,Harris789 Orn563,M,GENERAL PRACTICE,104 FOREST AVENUE,GLEN COVE,NY,11542,2,
8b6780fe-300d-46bd-bd61-25042913b198,f89cb028-6f89-4861-9cb3-7ae63fb8ea44,Wanetta360 Russel238,F,GENERAL PRACTICE,1536 BEDFORD AVENUE,BROOKLYN,NY,11216,259,
08b3a9c1-f4fc-4836-b83e-29976d1920c2,c9c7c9bf-0bcc-4bf7-a099-cf68656c8722,Lizabeth515 Heaney114,F,GENERAL PRACTICE,504 MONTAUK HIGHWAY,CENTER MORICHES,NY,11934,3,
d76c9201-018e-4f58-88fc-debc3809aa2e,7e16ef2e-3128-496d-90ef-cf448c4b735f,Clemente531 Gálvez271,M,GENERAL PRACTICE,986 SUNRISE HIGHWAY,WEST BABYLON,NY,11704,3,
ca5047cb-adf7-4d53-a7a2-a1723f274e16,fc77bd6b-aba4-4c74-9af2-0874ad9b5952,Barbera53 Ankunding277,F,GENERAL PRACTICE,18 EASTWOOD BOULEVARD,CENTEREACH,NY,11720,3,
af182ef4-5852-4082-bf34-d52d9a4b8e89,c2000f72-eac7-4f7c-9896-939af6a88922,Jae222 Rau926,M,GENERAL PRACTICE,365 WEST JERICHO TURNPIKE,HUNTINGTON,NY,11743,8,
0be32c1c-562b-4bec-a6aa-617873745f15,04d63885-755b-4e20-9589-127b0a7a3dfb,Nelson403 Osinski784,M,GENERAL PRACTICE,2099 NIAGARA FALLS BOULEVARD,AMHERST,NY,14228,54,
f42a31fb-e2d5-43d5-bd36-24cf22f83331,d29ef78b-1eb4-4243-8edd-856d588a479a,Annita733 Heller342,F,GENERAL PRACTICE,2226 PENFIELD ROAD,PENFIELD,NY,14526,29,
